5,13
6,19
7,25
8,27
9,31
10,37
11,41
12,49
13,51
14,58
15,63
16,70
17,77
18,86
19,90
20,97
21,107
2,3
3,6
4,10
5,13
6,18
7,24
8,27
9,31
10,37
11,41
12,48
13,51
14,59
15,64
16,70
17,76
18,84
19,89
20,96
21,101
2,3
3,6
4,10
5,14
6,18
7,26
8,27
9,31
10,37
11,41
12,47
13,52
14,59
15,63
16,72
17,78
18,84
19,88
20,98
21,101
2,3
3,6
4,10
5,13
6,18
7,22
8,27
9,31
10,36
11,55
12,45
13,50
14,55
15,59
16,66
17,71
18,80
19,83
20,93
21,96
2,3
3,5
4,10
5,12
6,17
7,20
8,26
9,29
10,34
11,39
12,45
13,50
14,56
15,60
16,67
17,72
18,78
19,85
20,92
21,95
2,3
3,5
4,9
5,12
6,19
7,21
8,25
9,29
10,34
11,39
12,45
13,50
14,55
15,61
16,72
17,72
18,79
19,86
20,92
21,94
2,3
3,6
4,10
5,13
6,17
7,21
8,25
9,29
10,34
11,39
12,45
13,48
14,56
15,60
16,66
17,71
18,75
19,83
20,86
21,91
2,3
3,5
4,9
5,12
6,16
7,20
8,24
9,27
10,33
11,37
12,44
13,46
14,53
15,57
16,63
17,67
18,75
19,84
20,89
21,92
2,3
3,5
4,9
5,12
6,16
7,19
8,24
9,28
10,33
11,37
12,43
13,46
14,53
15,56
16,64
17,67
18,78
19,79
20,86
21,92
2,3
3,5
4,9
5,20
6,16
7,20
8,24
9,28
10,33
11,37
12,42
13,46
14,53
15,56
16,62
17,67
18,77
19,80
20,87
21,92
2,3
3,5
4,9
5,13
6,16
7,19
8,24
9,27
10,33
11,37
12,42
13,45
14,50
15,54
16,60
17,64
18,72
19,76
20,82
21,86
2,2
3,5
